"film_category","films"
"Action","Amadeus Holy, American Circus, Antitrust Tomatoes, Ark Ridgemont, Barefoot Manchurian, Berets Agent, Bride Intrigue, Bull Shawshank, Caddyshack Jedi, Campus Remember, Casualties Encino, Celebrity Horn, Clueless Bucket, Crow Grease, Dances None, Darko Dorado, Darn Forrester, Devil Desire, Dragon Squad, Dream Pickup, Drifter Commandments, Easy Gladiator, Entrapment Satisfaction, Excitement Eve, Fantasy Troopers, Firehouse Vietnam, Fool Mockingbird, Forrest Sons, Glass Dying, Gosford Donnie, Grail Frankenstein, Handicap Boondock, Hills Neighbors, Kissing Dolls, Lawrence Love, Lord Arizona, Lust Lock, Magnolia Forrester, Midnight Westward, Minds Truman, Mockingbird Hollywood, Montezuma Command, Park Citizen, Patriot Roman, Primary Glass, Quest Mussolini, Rear Trading, Rings Heartbreakers, Rugrats Shakespeare, Shrunk Divine, Side Ark, Sky Miracle, South Wait, Speakeasy Date, Stagecoach Armageddon, Story Side, Suspects Quills, Trip Newton, Truman Crazy, Uprising Uptown, Waterfront Deliverance, Werewolf Lola, Women Dorado, Worst Banger"
"Animation","Alter Victory, Anaconda Confessions, Argonauts Town, Bikini Borrowers, Blackout Private, Borrowers Bedazzled, Canyon Stock, Carol Texas, Champion Flatliners, Clash Freddy, Club Graffiti, Crossroads Casualties, Dares Pluto, Desire Alien, Dogma Family, Donnie Alley, Doors President, Double Wrath, Duck Racer, Early Home, Falcon Volume, Fight Jawbreaker, Floats Garden, Flying Hook, Forrester Comancheros, Gangs Pride, Ghostbusters Elf, Harper Dying, Hook Chariots, Horn Working, Inch Jet, Insects Stone, Intentions Empire, Ishtar Rocketeer, Juggler Hardly, Lawless Vision, Luke Mummy, Massage Image, Menagerie Rushmore, Miracle Virtual, Mission Zoolander, Nash Chocolat, Oscar Gold, Oz Liaisons, Packer Madigan, Pond Seattle, Potluck Mixed, Potter Connecticut, Pride Alamo, Punk Divorce, Room Roman, Sleepless Monsoon, Snowman Rollercoaster, Sons Interview, Storm Happiness, Sugar Wonka, Sunrise League, Telemark Heartbreakers, Theory Mermaid, Thief Pelican, Titanic Boondock, Tracy Cider, Turn Star, Wait Cider, Watch Tracy, Wonka Sea"
"Children","Backlash Undefeated, Bear Graceland, Beneath Rush, Betrayed Rear, Cabin Flash, Casper Dragonfly, Christmas Moonshine, Circus Youth, Clockwork Paradise, Comancheros Enemy, Crooked Frogmen, Daughter Madigan, Doctor Grail, Empire Malkovich, Fargo Gandhi, Forever Candidate, Full Flatliners, Fury Murder, Ghost Groundhog, Giant Troopers, Gorgeous Bingo, Graduate Lord, Hall Cassidy, Heartbreakers Bright, Hollywood Anonymous, Holocaust Highball, Idols Snatchers, Invasion Cyclone, Jersey Sassy, Jumping Wrath, Labyrinth League, Language Cowboy, Legally Secretary, Magic Mallrats, Maker Gables, Microcosmos Paradise, Model Fish, Murder Antitrust, Noon Papi, Polish Brooklyn, Robbers Joon, Sabrina Midnight, Santa Paris, Scarface Bang, Shepherd Midsummer, Sister Freddy, Splendor Patton, Strangelove Desire, Stranger Strangers, Sundance Invasion, Sweethearts Suspects, Tequila Past, Ties Hunger, Tootsie Pilot, Twisted Pirates, Uptown Young, Walls Artist, Warlock Werewolf, Wrong Behavior, Zoolander Fiction"
"Classics","Alice Fantasia, Arizona Bang, Beast Hunchback, Bound Cheaper, Candidate Perdition, Center Dinosaur, Color Philadelphia, Conspiracy Spirit, Core Suit, Creepers Kane, Cruelty Unforgiven, Detective Vision, Dracula Crystal, Dynamite Tarzan, Extraordinary Conquerer, Frost Head, Galaxy Sweethearts, Gilbert Pelican, Gilmore Boiled, Holy Tadpole, Hope Tootsie, Hyde Doctor, Iron Moon, Island Exorcist, Jeepers Wedding, Jeopardy Encino, Jerk Paycheck, Jingle Sagebrush, League Hellfighters, Lights Deer, Loathing Legally, Lovely Jingle, Lover Truman, Magnificent Chitty, Malkovich Pet, Million Ace, Musketeers Wait, October Submarine, Pajama Jawbreaker, Patient Sister, Prejudice Oleander, Requiem Tycoon, Right Cranes, Roots Remember, Sling Luke, Snatchers Montezuma, Spiking Element, Steel Santa, Summer Scarface, Tadpole Park, Timberland Sky, Tomorrow Hustler, Towers Hurricane, Volume House, Voyage Legally, Wasteland Divine, Westward Seabiscuit"
"Comedy","Airplane Sierra, Anthem Luke, Bringing Hysterical, Caper Motions, Cat Coneheads, Closer Bang, Connection Microcosmos, Control Anthem, Crazy Home, Daddy Pittsburgh, Doom Dancing, Downhill Enough, Dying Maker, Element Freddy, Ferris Mother, Fireball Philadelphia, Flintstones Happiness, Frankenstein Stranger, Freedom Cleopatra, Gold River, Groundhog Uncut, Gunfight Moon, Hate Handicap, Heaven Freedom, Hedwig Alter, Hurricane Affair, Hustler Party, Jaws Harry, Knock Warlock, Life Twisted, Lion Uncut, Lonely Elephant, Mallrats United, Memento Zoolander, Mulan Moon, Mystic Truman, Operation Operation, Paradise Sabrina, Party Knock, Perfect Groove, Pinocchio Simon, Pure Runner, Rushmore Mermaid, Saddle Antitrust, Saturn Name, Searchers Wait, Snatch Slipper, Stage World, Strictly Scarface, Submarine Bed, Sweden Shining, Trainspotting Strangers, Tramp Others, Valley Packer, Velvet Terminator, Vertigo Northwest, Wisdom Worker, Zorro Ark"
"Documentary","Academy Dinosaur, Adaptation Holes, Army Flintstones, Beach Heartbreakers, Bed Highball, Bill Others, Bonnie Holocaust, Brotherhood Blanket, Cause Date, Chicken Hellfighters, Cider Desire, Clerks Angels, Coast Rainbow, Cupboard Sinners, Dancing Fever, Deep Crusade, Deliverance Mulholland, Dozen Lion, Duffel Apocalypse, Egg Igby, Expendable Stallion, French Holiday, Halloween Nuts, Hardly Robbers, Hawk Chill, Heavyweights Beast, Homeward Cider, Hunter Alter, Independence Hotel, Intolerable Intentions, Kill Brotherhood, Madison Trap, Majestic Floats, Metal Armageddon, Midsummer Groundhog, Mighty Luck, Mod Secretary, Modern Dorado, National Story, Newsies Story, North Tequila, Notorious Reunion, Pacific Amistad, Pelican Comforts, Pocus Pulp, Princess Giant, Quills Bull, Raiders Antitrust, Rainbow Shock, Road Roxanne, Sagebrush Clueless, Secret Groundhog, Ship Wonderland, Show Lord, Smoking Barbarella, Spoilers Hellfighters, Streak Ridgemont, Thin Sagebrush, United Pilot, Untouchables Sunrise, Villain Desperate, Virginian Pluto, Wagon Jaws, Wars Pluto, Wedding Apollo, Wife Turn, Wrath Mile, Young Language"
"Drama","Apollo Teen, Beauty Grease, Beethoven Exorcist, Blade Polish, Bright Encounters, Bunch Minds, Chill Luck, Chitty Lock, Coneheads Smoochy, Confessions Maguire, Conquerer Nuts, Craft Outfield, Dalmations Sweden, Darkness War, Deceiver Betrayed, Destination Jerk, Diary Panic, Edge Kissing, Encounters Curtain, Goldfinger Sensibility, Gone Trouble, Greedy Roots, Hanging Deep, Harold French, Harry Idaho, Hobbit Alien, Hunchback Impossible, Jacket Frisco, Kwai Homeward, Lebowski Soldiers, Lies Treatment, Luck Opus, Mob Duffel, Necklace Outbreak, Notting Speakeasy, Orient Closer, Paths Control, Paycheck Wait, Pity Bound, Queen Luke, Racer Egg, Reunion Witches, Rocky War, Saints Bride, Savannah Town, Scorpion Apollo, Sea Virgin, Seattle Expecations, Shootist Superfly, Slacker Liaisons, Something Duck, Spice Sorority, Tenenbaums Command, Torque Bound, Translation Summer, Treatment Jekyll, Unfaithful Kill, Vietnam Smoochy, Virgin Daisy, Wardrobe Phantom, West Lion, Witches Panic"
"Family","African Egg, Apache Divine, Atlantis Cause, Baked Cleopatra, Bang Kwai, Bedazzled Married, Bilko Anonymous, Blanket Beverly, Blood Argonauts, Blues Instinct, Braveheart Human, Chasing Fight, Chisum Behavior, Chocolat Harry, Confused Candles, Conversation Downhill, Date Speed, Dinosaur Secretary, Dumbo Lust, Earring Instinct, Effect Gladiator, Feud Frogmen, Finding Anaconda, Gables Metropolis, Gandhi Kwai, Gladiator Westward, Grease Youth, Half Outfield, Hocus Frida, Homicide Peach, House Dynamite, Hunting Musketeers, Indian Love, Jason Trap, Jedi Beneath, Killer Innocent, King Evolution, Lolita World, Louisiana Harry, Maguire Apache, Manchurian Curtain, Movie Shakespeare, Music Boondock, Natural Stock, Network Peak, Odds Boogie, Opposite Necklace, Pilot Hoosiers, Pittsburgh Hunchback, President Bang, Prix Undefeated, Rage Games, Range Moonwalker, Remember Diary, Resurrection Silverado, Robbery Bright, Rush Goodfellas, Secrets Paradise, Sensibility Rear, Siege Madre, Slums Duck, Soup Wisdom, Spartacus Cheaper, Spinal Rocky, Splash Gump, Sunset Racer, Super Wyoming, Virtual Spoilers, Willow Tracy"
"Foreign","Agent Truman, Alamo Videotape, Alien Center, Alley Evolution, Baby Hall, Ballroom Mockingbird, Brooklyn Desert, Bugsy Song, Calendar Gunfight, Catch Amistad, Chocolate Duck, Command Darling, Cowboy Doom, Crossing Divorce, Crystal Breaking, Cyclone Family, Dangerous Uptown, Doubtfire Labyrinth, Everyone Craft, Fiction Christmas, Frida Slipper, Gentlemen Stage, Grapes Fury, Greek Everyone, Happiness United, Hellfighters Sierra, Highball Potter, Holiday Games, Hoosiers Birdcage, Hotel Happiness, Hunger Roof, Illusion Amelie, Impossible Prejudice, Informer Double, Innocent Usual, Intrigue Worst, Jet Neighbors, Kane Exorcist, Kiss Glory, Lose Inch, Lost Bird, Madness Attacks, Matrix Snowman, Maude Mod, Meet Chocolate, Mixed Doors, Moon Bunch, Mulholland Beast, Muppet Mile, Newton Labyrinth, Opus Ice, Orange Grapes, Past Suicides, Pearl Destiny, Pet Haunting, Pollock Deliverance, Purple Movie, Reservoir Adaptation, Rocketeer Mother, School Jacket, Scissorhands Slums, Shock Cabin, Shrek License, Sorority Queen, Stepmom Dream, Town Ark, Trap Guys, Usual Untouchables, Vision Torque, War Notting, Wash Heavenly, Whale Bikini, Wonderful Drop"
"Games","Autumn Crow, Bulworth Commandments, Candles Grapes, Chicago North, Creatures Shakespeare, Curtain Videotape, Darling Breaking, Dawn Pond, Dazed Punk, Details Packer, Dirty Ace, Divine Resurrection, Dwarfs Alter, Encino Elf, Fantasia Park, Feathers Metal, Fever Empire, Fire Wolves, Forward Temple, Gathering Calendar, Glory Tracy, Grinch Massage, Grit Clockwork, Gun Bonnie, Haunting Pianist, Head Stranger, Human Graffiti, Ice Crossing, Jericho Mulan, Ladybugs Armageddon, Lambs Cincinatti, Madre Gables, Maltese Hope, Mars Roman, Massacre Usual, Monsoon Cause, Moonshine Cabin, Moonwalker Fool, Name Detective, Nightmare Chill, Outbreak Divine, Panky Submarine, Pizza Jumanji, Private Drop, Psycho Shrunk, Roof Champion, Rouge Squad, Roxanne Rebel, Sassy Packer, Seven Swarm, Sleuth Orient, Spy Mile, Stampede Disturbing, State Wasteland, Suit Walls, Tycoon Gathering, Vanilla Day, Videotape Arsenic, Volcano Texas, Wanda Chamber, Wind Phantom"
